name,hour,day,weekday,month,year,availableSpotNumber,total,occupation
San Juan De La Cruz,0,13,7,11,2021,219,487,0.55
Pz. de la Marina,0,13,7,11,2021,10,430,0.98
Tejón y Rodriguez,0,13,7,11,2021,60,187,0.68
Salitre,23,12,6,11,2021,210,435,0.52
Cervantes,23,12,6,11,2021,207,409,0.49
El Palo,23,12,6,11,2021,53,127,0.58
Av. de Andalucía,23,12,6,11,2021,462,613,0.25
Camas,23,12,6,11,2021,214,350,0.39
Cruz De Humilladero,23,12,6,11,2021,71,217,0.67
Alcazaba,23,12,6,11,2021,186,378,0.51
San Juan De La Cruz,23,12,6,11,2021,219,487,0.55
Pz. de la Marina,23,12,6,11,2021,10,430,0.98
Tejón y Rodriguez,23,12,6,11,2021,28,187,0.85
Salitre,22,12,6,11,2021,208,435,0.52
Cervantes,22,12,6,11,2021,192,409,0.53
El Palo,22,12,6,11,2021,52,127,0.59
Av. de Andalucía,22,12,6,11,2021,462,613,0.25
Camas,22,12,6,11,2021,214,350,0.39
Cruz De Humilladero,22,12,6,11,2021,71,217,0.67
Alcazaba,22,12,6,11,2021,186,378,0.51
San Juan De La Cruz,22,12,6,11,2021,219,487,0.55
Pz. de la Marina,22,12,6,11,2021,10,430,0.98
Tejón y Rodriguez,22,12,6,11,2021,28,187,0.85
Salitre,21,12,6,11,2021,208,435,0.52
Cervantes,21,12,6,11,2021,186,409,0.55
El Palo,21,12,6,11,2021,52,127,0.59
Av. de Andalucía,21,12,6,11,2021,367,613,0.4
Camas,21,12,6,11,2021,214,350,0.39
Cruz De Humilladero,21,12,6,11,2021,72,217,0.67
Alcazaba,21,12,6,11,2021,186,378,0.51
San Juan De La Cruz,21,12,6,11,2021,218,487,0.55
Pz. de la Marina,21,12,6,11,2021,0,430,1
Tejón y Rodriguez,21,12,6,11,2021,32,187,0.83
Salitre,20,12,6,11,2021,193,435,0.56
Cervantes,20,12,6,11,2021,173,409,0.58
El Palo,20,12,6,11,2021,48,127,0.62
Av. de Andalucía,20,12,6,11,2021,284,613,0.54
Camas,20,12,6,11,2021,214,350,0.39
Cruz De Humilladero,20,12,6,11,2021,59,217,0.73
Alcazaba,20,12,6,11,2021,186,378,0.51
San Juan De La Cruz,20,12,6,11,2021,214,487,0.56
Pz. de la Marina,20,12,6,11,2021,0,430,1
Tejón y Rodriguez,20,12,6,11,2021,46,187,0.75
Salitre,19,12,6,11,2021,193,435,0.56
